Model Year,Regulatory Class,Vehicle Type,Production Share,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
2010,All,All,1,22.59206,19.11219,26.1893,393.65429,465.33221,339.58148,4001.323,213.6361,48.54913
2010,Car,All Car,0.627501,25.70318,21.66984,29.90173,346.08157,410.49947,297.48562,3536.415,190.1856,45.43572
2010,Car,Sedan/Wagon,0.545198,26.16218,22.01937,30.48967,340.06486,404.04838,291.79659,3474.093,186.6923,45.21904
2010,Truck,All Truck,0.372499,18.7657,15.94241,21.65931,473.79406,557.70201,410.49508,4784.495,253.1402,53.79389
2010,Truck,Truck SUV,0.207388,19.68205,16.79938,22.60871,451.91844,529.47109,393.41382,4555.242,243.1933,48.30706
2010,Truck,Pickup,0.114812,16.85202,14.32492,19.43903,527.35529,620.38751,457.17309,5308.759,288.9247,63.53787
2010,Car,Car SUV,0.082303,23.02703,19.60801,26.51481,385.9378,453.23313,335.17114,3949.247,213.3254,46.87108
2010,Truck,Minivan/Van,0.050298,20.11859,16.73587,23.73819,441.73066,531.01527,374.3756,4533.047,212.4705,54.17514
2011,All,All,1,22.28844,18.83713,25.86317,398.99558,472.11781,343.83319,4125.934,229.9718,49.54439
2011,Car,All Car,0.578225,25.38827,21.32795,29.64592,350.28393,417.00325,299.95181,3616.517,200.0428,45.99051
2011,Car,Sedan/Wagon,0.477828,25.8217,21.62453,30.25109,344.45887,411.35565,293.99288,3559.086,198.5117,45.80972
2011,Truck,All Truck,0.421775,19.09259,16.23742,22.01257,465.77588,547.67607,403.99153,4824.309,271.0024,54.41651
2011,Truck,Truck SUV,0.255377,19.82269,16.91384,22.7779,448.83211,526.0224,390.60083,4665.32,257.2685,49.65835
2011,Truck,Pickup,0.123051,17.23687,14.63211,19.91075,515.58096,607.36296,446.34191,5267.786,303.833,63.92867
2011,Car,Car SUV,0.100397,23.51011,20.02107,27.06871,378.00765,443.88237,328.31269,3889.853,207.3301,46.85096
2011,Truck,Minivan/Van,0.043347,20.94922,17.56974,24.50498,424.21625,505.81271,362.66103,4502.072,258.7179,55.44647
2012,All,All,1,23.56593,19.94669,27.30319,377.31888,445.79746,325.6596,3978.812,221.7796,48.81134
2012,Car,All Car,0.64382,26.87389,22.70013,31.20175,330.77861,391.62352,284.87806,3519.494,191.9836,45.65266
2012,Car,Sedan/Wagon,0.549736,27.59971,23.27884,32.0936,322.10411,381.91993,276.9799,3451.78,188.7913,45.44823
2012,Truck,All Truck,0.35618,19.27687,16.35979,22.27286,461.44382,543.72082,399.37521,4809.062,275.6382,54.52088
2012,Truck,Truck SUV,0.206068,20.00681,17.06347,22.99968,444.93342,521.68201,387.03537,4639.557,260.5694,49.66824
2012,Truck,Pickup,0.100867,17.20749,14.58427,19.90889,516.46123,609.35496,446.3835,5334.678,316.8917,64.31795
2012,Car,Car SUV,0.094084,23.29446,19.82097,26.84315,381.46382,448.32175,331.02714,3915.148,210.6364,46.84717
2012,Truck,Minivan/Van,0.049244,21.26883,17.7206,25.05315,417.84159,501.50662,354.72587,4441.761,254.1958,54.75999
2013,All,All,1,24.17888,20.49116,27.97717,367.53789,433.74031,317.59572,4002.973,225.8506,49.08053
2013,Car,All Car,0.640886,27.64926,23.39324,32.04776,321.23666,379.76841,277.08113,3542.972,197.0041,45.90822
2013,Car,Sedan/Wagon,0.541262,28.35773,23.97274,32.89718,313.18409,370.5723,269.89123,3465.189,193.9407,45.68693
2013,Truck,All Truck,0.359114,19.75404,16.77686,22.80728,450.16838,530.06009,389.8992,4823.903,277.3308,54.74191
2013,Truck,Truck SUV,0.217773,20.82639,17.78126,23.91618,427.1893,500.36065,371.98985,4584.101,256.6584,49.69878
2013,Truck,Pickup,0.103765,17.47393,14.79418,20.2396,508.58612,600.70936,439.08965,5428.998,328.0566,65.32018
2013,Car,Car SUV,0.099623,24.3448,20.67754,28.10508,364.98702,429.73172,316.14453,3965.578,213.648,47.11052
2013,Truck,Minivan/Van,0.037577,21.05797,17.52555,24.83404,422.02553,507.08809,357.85552,4542.733,257.0599,54.75788
2014,All,All,1,24.11047,20.4402,27.88816,368.65513,434.90361,318.6782,4059.639,230.2484,49.72043
2014,Car,All Car,0.593428,27.62624,23.38527,32.00481,321.56604,379.96795,277.50845,3559.296,198.1914,46.0733
2014,Car,Sedan/Wagon,0.492449,28.38531,23.99001,32.93776,312.95857,370.39561,269.62888,3496.549,197.0531,45.99471
2014,Truck,All Truck,0.406572,20.33351,17.26636,23.48,437.38578,515.08702,378.76905,4789.934,277.0384,55.04374
2014,Truck,Truck SUV,0.238926,21.59169,18.4238,24.80986,412.14498,483.02338,358.6753,4482.893,250.4819,49.23501
2014,Truck,Pickup,0.124349,18.0377,15.28095,20.87925,492.69032,581.57388,425.63781,5484.824,333.8904,66.19105
2014,Car,Car SUV,0.100979,24.43912,20.8252,28.12045,363.54246,426.64988,315.93511,3865.299,203.7429,46.4566
2014,Truck,Minivan/Van,0.043297,21.26902,17.73591,25.03059,417.83774,501.0739,355.04554,4488.559,260.3062,55.08304
2015,All,All,1,24.64986,20.92874,28.46829,360.49589,424.68316,312.07392,4035.455,228.8536,49.4185
2015,Car,All Car,0.573573,28.23955,23.90781,32.71055,314.20079,371.29268,271.13147,3555.91,197.3586,46.10941
2015,Car,Sedan/Wagon,0.471935,29.00986,24.48679,33.70677,305.73846,362.41318,262.98385,3488.66,196.2541,46.04941
2015,Truck,All Truck,0.426427,21.05063,17.92452,24.23982,422.766,496.49705,367.14433,4680.477,271.2166,53.86946
2015,Truck,Truck SUV,0.280602,21.94241,18.74179,25.18729,405.5262,474.78259,353.28015,4533.314,254.022,49.40054
2015,Truck,Pickup,0.106699,18.80861,15.9744,21.71506,473.52257,557.5252,410.15216,5164.656,324.168,65.33603
2015,Car,Car SUV,0.101638,25.13993,21.54266,28.76325,353.49382,412.52276,308.96321,3868.169,202.4874,46.388
2015,Truck,Minivan/Van,0.039126,21.78246,18.29355,25.44309,407.98875,485.79962,349.28932,4415.51,250.1297,54.6493
2016,All,All,1,24.70826,21.02,28.47909,359.3451,422.45529,311.72153,4035.013,229.997,49.51239
2016,Car,All Car,0.552937,28.52688,24.18872,32.99037,310.56651,366.39626,268.44933,3533.367,196.3766,46.13906
2016,Truck,All Truck,0.447063,21.19859,18.08914,24.35923,419.67547,491.79026,365.24147,4655.46,271.5793,53.68459
2016,Car,Sedan/Wagon,0.438051,29.2051,24.6359,33.95609,303.3207,359.71035,260.78113,3468.065,197.0935,46.16236
2016,Truck,Truck SUV,0.291228,22.21006,19.03551,25.40994,400.31728,467.03833,349.93531,4482.448,252.4301,49.1192
2016,Truck,Pickup,0.117136,18.92237,16.10266,21.80246,470.91563,553.37609,408.70861,5150.408,324.2175,64.54543
2016,Car,Car SUV,0.114886,26.2064,22.62297,29.76286,338.19432,391.88919,297.68767,3782.359,193.6434,46.05022
2016,Truck,Minivan/Van,0.0387,21.66192,18.07589,25.47444,410.25907,491.64926,348.85944,4459.328,256.3589,55.16716
2017,All,All,1,24.86174,21.12898,28.68465,356.71803,419.80423,309.12669,4093.218,233.5204,49.82204
2017,Car,All Car,0.525456,29.19796,24.77648,33.74019,302.80695,356.99421,261.92885,3555.007,193.9406,46.22037
2017,Truck,All Truck,0.474544,21.35073,18.16749,24.60275,416.41295,489.35281,361.38814,4689.169,277.3465,53.8101
2017,Car,Sedan/Wagon,0.410182,30.18222,25.54201,34.97559,292.68457,346.01719,252.45119,3470.57,192.7745,46.13545
2017,Truck,Truck SUV,0.317608,22.3414,19.07732,25.65246,397.80625,465.8377,346.48428,4509.793,257.3876,49.42878
2017,Truck,Pickup,0.120699,18.91763,16.08738,21.81259,470.48611,553.27096,408.03437,5217.041,332.8031,64.78242
2017,Car,Car SUV,0.115274,26.16214,22.38877,29.973,338.82558,396.05392,295.65333,3855.464,198.0898,46.52256
2017,Truck,Minivan/Van,0.036237,22.23448,18.40065,26.38102,399.38706,482.5559,336.64567,4503.103,267.5649,55.66431
2018,All,All,1,25.10285,21.46825,28.77838,352.77174,412.66017,307.59275,4136.722,240.5212,50.35439
2018,Truck,All Truck,0.520743,21.88054,18.73555,25.05309,406.28252,474.45737,354.85237,4647.371,276.7116,53.8935
2018,Car,All Car,0.479257,29.88494,25.51136,34.32405,294.62883,345.51352,256.24212,3581.869,201.1979,46.50892
2018,Car,Sedan/Wagon,0.366674,30.76299,26.11815,35.52964,285.55547,336.8074,246.89173,3534.73,204.7017,46.67635
2018,Truck,Truck SUV,0.350564,23.13028,19.90478,26.35165,384.15751,446.39409,337.2071,4426.255,250.1051,49.15101
2018,Truck,Pickup,0.13895,19.10974,16.29858,21.96815,465.99329,546.37019,405.35809,5233.055,345.6733,65.49679
2018,Car,Car SUV,0.112583,27.34311,23.71679,30.90827,324.17996,373.86861,286.69555,3735.398,189.7867,45.96361
2018,Truck,Minivan/Van,0.031229,22.75932,18.84621,26.98635,388.97187,469.51539,328.21097,4523.587,268.5461,55.50305
Prelim. 2019,All,All,1,25.51294,21.94984,29.0732,346.342,402.94675,303.64016,4109.968,244.3904,50.19311
Prelim. 2019,Truck,All Truck,0.502113,22.28968,19.20471,25.36324,399.0394,463.10643,350.70814,4591.803,275.8584,53.63959
Prelim. 2019,Car,All Car,0.497887,29.86888,25.64695,34.10407,293.19727,342.27642,256.17266,3624.044,212.6554,46.71738
Prelim. 2019,Car,Sedan/Wagon,0.384749,30.82169,26.35076,35.34584,283.22672,332.25037,246.24397,3573.083,214.3708,46.84165
Prelim. 2019,Truck,Truck SUV,0.330652,23.68052,20.47544,26.85128,375.32139,434.05953,331.01017,4398.345,251.0129,48.91374
Prelim. 2019,Truck,Pickup,0.137651,19.43785,16.72582,22.14688,458.91629,533.33996,402.77212,5069.63,337.3477,64.63627
Prelim. 2019,Car,Car SUV,0.113138,27.0275,23.5114,30.46436,327.10427,376.37215,289.93727,3797.347,206.8216,46.29477
Prelim. 2019,Truck,Minivan/Van,0.03381,22.81271,19.13693,26.67844,387.21669,461.23346,331.37948,4538.371,268.4972,55.08603